keyframe,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
0,7.378119264985122,20.860382922451393,5.180832452965212,-0.46720149976318587,-0.4721765964034081,-0.32855228235127115,0.6714353417788592
1,14.387423819906461,8.691394946144618,4.212643290888563,-0.3826609758075802,-0.5842452359563494,-0.36216954894982023,0.6173016277880564
2,14.387423819906461,8.691394946144618,4.212643290888563,-0.2996909293420333,-0.44415873729470057,-0.16058126504873602,0.8289282358987617
3,14.387423819906461,8.691394946144618,4.212643290888563,-0.1225379642930324,0.8105750519726433,0.5426293766533367,0.1830461472396442
4,14.226701259180436,7.211050099064931,4.695871196136821,-0.03586397597853819,-0.8469316922790001,-0.5273547255673465,0.05759754562677588
5,14.226701259180436,7.211050099064931,4.695871196136821,-0.42566695560195433,-0.4636329460444209,-0.2709772732516786,0.728301758635677
6,14.226701259180436,7.211050099064931,4.695871196136821,-0.27079411152042426,-0.45708193059376084,-0.14839324095304274,0.8341019745390827
7,14.984716876280869,6.600479961284525,4.319094528404835,-0.26401130983935156,-0.49722622962373014,-0.16197603996908796,0.8104491762763487
8,14.984716876280869,6.600479961284525,4.319094528404835,0.5070121447625332,-0.030414351375881703,0.01790543256511005,0.8612160285191729
9,15.080709362133593,7.519859505936703,3.9207420188454294,0.5669603514644574,0.0499261380989202,-0.0344562997747339,0.8215084320977236
10,15.00101655238741,8.020160831636506,3.8578947160571655,0.506980085608811,0.35123424432658035,-0.23725283095432148,0.7505443308776497
11,16.592891430503112,7.231747614568974,3.0168056965666294,0.08023217397023075,0.8513643699233739,-0.13659053763938941,0.5000845257677644
12,22.711295268030838,5.15461102914704,-1.1734736977654028,0.049089204496274734,0.8611165632982418,-0.08473152305645348,0.49888784653054224
13,13.732650260029141,6.762062890394326,1.3191683192932688,0.0423714941012185,0.8122287985125844,-0.059464838919923095,0.5787512145012411
14,18.49062526806751,16.027648737847745,-0.44517034502142694,-0.18983897633815847,0.8098687309502735,0.3802009309872045,0.40437736554898396
15,7.378119264985122,20.860382922451393,5.180832452965212,-0.46720149976318587,-0.4721765964034081,-0.32855228235127115,0.6714353417788592
