filename,x,y,z
006f3a8a.png,10.670043,5.3326206,5.1466856
00870a9c.png,4.985724,4.2839456,12.050485
00d96e05.png,6.287703,4.0729933,12.260534
0578e08b.png,5.70722,2.886222,11.484644
073a8f93.png,3.698638,3.0850894,12.858013
08d780ae.png,6.217754,5.0613074,12.276812
09258248.png,4.448024,4.2392907,12.474968
0957ce54.png,11.735184,5.4758406,5.026805
0a7faa2a.png,8.882309,5.2642374,8.516936
0ac7580d.png,6.6616807,5.31127,12.161363
0cd9fcb6.png,5.503111,3.7106445,12.678907
0cea09eb.png,5.414119,3.8177714,11.647008
1052b0fe.png,11.586714,5.5543203,5.2550006
1479fa94.png,9.006904,5.7379947,8.579327
15d945b8.png,4.321618,3.3498077,13.165231
1663b242.png,8.107762,5.1600018,11.599429
17ad0a56.png,5.6882005,3.3924809,11.042956
18017511.png,9.060957,5.503184,8.487555
183af0d0.png,4.3444853,2.5729039,12.623866
1880e301.png,6.1175823,4.2846327,11.739479
19073f37.png,7.574882,5.163146,11.463052
1930e42f.png,5.778013,3.3094616,11.438424
19a01707.png,6.2647567,4.1726117,10.793577
19abe1f3.png,10.963629,5.4260955,5.3713093
1ae7877e.png,8.199486,4.954456,12.083499
1bc3008e.png,6.1368546,3.7199738,10.789806
1d40779e.png,4.774937,2.8219573,13.11058
1d435a4b.png,7.2256455,4.353322,11.024667
1d6c4b7c.png,8.8296795,5.3968873,8.797521
1e33b16c.png,4.2846174,2.9655268,13.249964
1e534853.png,5.5941353,4.1814575,11.2257
1f8a4a54.png,6.628365,4.5283804,11.895041
2086b9e1.png,4.9679055,3.8144155,13.328718
2168a917.png,10.667279,5.3962054,5.4553156
21982772.png,8.314321,5.1152964,11.450087
23823ebc.png,9.042958,5.493326,8.408276
24035bda.png,6.8674455,4.747681,12.086485
242a639e.png,4.72385,3.2242405,12.973018
24de8686.png,4.57129,2.4792163,12.68107
262a70ca.png,6.86349,5.027351,11.572236
26b79d0d.png,4.5818057,3.505254,13.338281
26e8db49.png,5.695776,4.2287264,12.715209
27a70642.png,6.4176455,5.2475624,12.09259
27f5a41d.png,8.968909,5.5785007,8.363738
2c35005f.png,11.1574955,5.118284,5.2929215
2cd63b76.png,10.852696,5.09761,4.884907
2e0bdd1e.png,6.4142604,3.5655565,13.258481
2ecd360d.png,5.411627,3.7884707,12.492738
2fb73975.png,5.2000837,3.9346645,12.106241
2fdd55b8.png,6.4230094,5.0892844,12.157948
3161e216.png,6.0335736,3.6122425,13.106021
3248cc61.png,6.232378,4.2033205,12.051373
3309d07c.png,4.9773293,3.8604064,13.359461
333932bd.png,5.6871643,5.1487255,12.178953
33ad0dcb.png,4.915958,2.5621014,12.151227
341e2287.png,5.6931944,5.1137533,12.348778
34d999a9.png,6.1970415,3.5766332,11.057903
35b446ce.png,5.163794,2.9453423,13.10327
3964b961.png,4.850972,2.6007977,12.054925
3a81faf3.png,11.500028,5.2529154,5.013531
3b46de94.png,9.1980095,5.572177,8.367058
3c3a2a35.png,6.06558,3.6979911,11.29559
3c8a0876.png,6.190273,3.0961864,13.526963
3d388a98.png,4.801668,3.2182999,11.861987
3dedeb92.png,6.255307,3.7671216,13.492954
3fd337c1.png,5.6509056,4.4074483,11.939981
40954b81.png,5.962235,2.855936,13.26624
40f355ec.png,5.7431293,3.870082,10.979554
40f67745.png,4.5565434,4.2366185,12.266289
430f21e7.png,3.8822718,2.9743176,12.76166
436a6348.png,8.285366,5.1327596,12.014227
441c9cdd.png,11.629777,5.462678,5.408955
47e3c811.png,6.1452537,3.342751,13.003503
483f2ad8.png,5.0465617,3.8207757,11.52733
48b98ca2.png,6.7248154,4.902862,12.210882
48c4542c.png,11.225538,5.490728,4.8278103
4b907d01.png,4.432279,3.662937,12.644853
4c0fcf57.png,8.300849,5.1964383,11.73668
4d98e1de.png,11.398581,5.3267474,4.9466662
4fcafe41.png,6.9666724,4.198182,12.258758
4fed5061.png,6.8545194,5.1169934,12.503069
527321ee.png,8.330197,4.890004,11.841236
5359825d.png,6.033423,3.9198189,11.243359
53c9be49.png,5.382679,3.0526462,12.581222
54d57e77.png,4.6978703,4.4649224,11.943033
54da03cf.png,6.9239182,4.52254,12.112909
563118e4.png,4.2308803,2.8359923,12.589266
5782ae15.png,10.932844,5.199977,4.977683
587e7c1a.png,4.53989,2.8001883,12.67924
59cb1744.png,3.7191968,2.9938385,12.845584
5acb8ac5.png,8.355001,5.2304845,9.480532
5b324cc7.png,6.6124506,3.6233852,11.108191
5c87a1d7.png,6.507011,3.3169115,12.259707
5cc1a119.png,6.95316,4.5751987,12.36418
5f001e0b.png,7.0235653,4.2450514,11.914302
5f619d7e.png,10.996158,5.469976,5.629478
5f7a99b2.png,5.038534,3.7448127,12.067838
61bc50d1.png,7.1430206,4.3635807,11.591618
626eb0ef.png,4.7559566,3.5449069,13.282688
6646071b.png,5.5993953,4.4357553,12.546334
689836b5.png,8.257623,5.0752997,11.77698
6b5af975.png,6.49937,5.0285177,11.930068
6c5b3802.png,5.861647,3.0754795,11.682957
6f7008af.png,5.966542,3.8999312,12.540356
76093afc.png,6.496506,3.6717677,11.295587
78af4c1d.png,4.2342157,3.598564,13.101116
78e9a055.png,6.8613696,3.6737282,13.073939
7929f04a.png,6.4056168,3.5472693,13.00709
7940dea2.png,4.488922,3.818013,11.983686
7998d604.png,6.343332,3.63342,11.605607
7a030330.png,6.4082613,3.662049,13.210896
7a17a765.png,6.244912,2.9425843,13.078393
7a2d2695.png,5.1844845,3.9874022,11.521838
7a9ec606.png,6.8268905,4.31668,11.089483
7afaaccc.png,11.220906,5.347899,4.9539676
7b68340a.png,5.7393894,3.034597,13.182513
7bb9327c.png,6.39576,3.0859632,13.314611
80b5f00f.png,10.823274,5.1518006,4.8940196
81089cb4.png,8.102739,5.0402718,11.43901
8251e162.png,5.8288875,5.168196,12.252607
82a78c13.png,10.93039,5.213595,5.0762534
839e1363.png,6.4571223,3.3652422,12.827891
851007d4.png,5.466058,3.489634,12.354214
85540916.png,4.4699197,2.5790954,12.605249
865336ed.png,8.06652,5.073477,12.095762
86d19bba.png,7.307747,4.8534484,12.415921
86ee6e6c.png,3.8652854,3.1758876,12.816053
87d50e40.png,8.392694,5.066269,11.537389
88267e40.png,4.799811,4.6109557,12.175906
887db78f.png,8.131956,4.682568,11.64076
88859dc1.png,8.993649,5.3345194,8.357068
8a81d526.png,5.1904626,3.0936422,11.651599
8abe5256.png,5.1853814,2.6580243,13.166427
8da14fff.png,11.460889,5.6003776,5.373159
8e438fce.png,4.8599787,2.604681,12.695319
8fc103ca.png,8.675569,5.4572415,8.978117
90070cbc.png,5.995507,3.045498,13.070665
90986ce4.png,8.997139,5.411381,8.433206
90c1e3ef.png,6.0302033,3.4198816,11.123419
91cda775.png,7.041671,3.7491128,12.934624
924f9c14.png,5.7382483,3.174205,13.371183
93fd0adb.png,3.9336329,2.9983675,12.684199
96da829b.png,6.308939,3.15519,12.187967
976b6ee3.png,6.6298537,3.2988417,13.4074955
981e154a.png,6.2374816,2.8476794,13.383441
98c24e39.png,4.147803,2.7523487,12.857864
9a9b2393.png,8.147421,4.9759946,12.201671
9d36404d.png,7.244545,5.173011,12.307471
9f3f2d91.png,6.7085905,4.7112894,11.834785
9ff4a125.png,5.5703573,4.1262493,12.265293
a132d8b6.png,5.186357,2.8710291,12.766629
a228e110.png,6.442591,4.6632123,12.617202
a2e1a826.png,5.051199,4.204305,11.528045
a2eba651.png,10.898519,5.4157524,5.1370873
a3111116.png,5.6982284,3.490368,12.002895
a361d7b7.png,10.993825,5.3423414,5.1436896
a38e1877.png,8.135213,5.0745215,11.5129385
a4318ac9.png,8.35382,5.252965,11.767458
a47dc73e.png,7.545264,5.1903305,11.395166
a7abee59.png,6.204042,3.9321716,10.805867
a7e0a141.png,5.751358,4.1814528,12.867919
a8685b98.png,4.4400034,3.423776,13.227345
a8ac1969.png,11.044378,5.5261884,5.5048175
aa9655de.png,6.071817,4.0484853,10.778357
ac00512e.png,6.497399,3.5546477,13.649529
ac4f6e4e.png,8.90967,5.180019,8.486558
ada8c494.png,11.520432,5.4887075,5.1978416
add529f3.png,4.3955545,2.8055205,13.342348
b03ef875.png,4.7157974,4.401019,11.728943
b0500187.png,5.8553257,3.8083262,10.914895
b10c49ca.png,5.4122844,2.774655,13.408346
b343e657.png,8.106048,4.912884,11.690196
b37c225f.png,3.924033,3.0481648,12.917614
b39206a9.png,7.2007823,4.3225303,12.78838
b39f5cf9.png,6.2910647,3.979847,13.279962
b4e9a53a.png,6.6947684,3.2346756,13.245611
b606e1d0.png,6.2205873,3.4154418,13.606328
b6e58409.png,6.328281,4.788286,11.379413
b9673e89.png,8.982012,5.3811283,8.377769
ba040c5e.png,4.051482,2.9887767,13.170693
bace1e45.png,8.198318,4.85304,12.356584
bb0e626a.png,9.020898,5.069599,8.640291
bb4c4038.png,5.504601,3.3940067,11.92937
bcb814aa.png,11.231768,5.4942503,5.0090227
bd10d5e2.png,8.808768,5.287914,8.540109
bd3ceeb6.png,7.6897154,4.5343585,11.334997
bd85e252.png,6.581369,4.0989814,11.402291
beef3909.png,4.54429,4.347664,12.261235
bf333f43.png,4.8838863,4.688277,12.245076
bf39b989.png,5.1715374,2.6442497,13.211098
bf551b8b.png,5.4421463,4.245664,11.328891
bfefde5d.png,8.453694,5.0789165,11.532023
c08a4f41.png,6.539982,3.5511613,11.191346
c0f74558.png,8.577819,5.6633043,8.774697
c3829ecb.png,9.072882,5.439588,8.726559
c4a0e11a.png,4.7206383,2.728035,13.208985
c601f50d.png,11.649611,5.438915,5.1815276
c828e894.png,6.726857,4.9172225,11.742346
c873402e.png,6.3761406,3.6292348,12.185772
c9280a30.png,5.982176,3.5484633,12.282474
cb60786c.png,3.734508,3.2132947,12.980097
cb706009.png,7.1996937,4.924631,11.288448
ce09cfab.png,5.007889,3.583881,13.172598
ce68550a.png,7.0116835,3.792326,11.499455
cf35d0c4.png,4.333207,2.753093,13.147953
cfcdf8d9.png,5.3910375,4.0084286,11.731863
d009d61f.png,8.922735,5.6988564,8.551616
d15bf071.png,6.8140616,4.1401887,12.060342
d22964a4.png,7.653555,4.600322,11.340286
d2af569b.png,4.9749117,3.649832,11.943364
d2c83bde.png,4.7076435,2.4639533,12.360189
d59d92b8.png,6.8156013,3.3455405,13.170012
d6494b39.png,6.2706313,3.0245993,12.800082
d680397c.png,6.3165383,4.770979,12.686627
d6b8d378.png,6.3960342,3.6862812,13.443123
d7f2ee0f.png,7.567214,5.21049,11.496601
d806f9a1.png,4.8013687,4.6140375,12.209932
d9d6ca9a.png,11.497915,5.271327,4.9645705
db96a050.png,7.7677283,5.1420984,11.426226
e104f46d.png,4.748807,3.900475,12.155925
e1446fe8.png,8.746191,5.292514,8.859887
e1a4f870.png,5.938758,4.2246695,10.831382
e53ea41a.png,6.519062,4.4066944,11.2969
e6eaadf0.png,5.0193663,2.5467312,13.319337
e87352fc.png,11.28831,5.266475,4.7771945
e9877113.png,6.347908,3.5052984,10.860942
ec083e35.png,11.401398,5.4099717,4.9080157
ee2d1bf6.png,6.5645385,3.8962975,12.759769
f0a93ef2.png,4.173204,3.1927469,12.971161
