keyframe,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
0,-3.750750019126551,6.109219736931443,16.4158300550712,-0.19893093782352997,-0.2911820508036765,-0.06203843127377437,0.9336973429926345
1,6.33131532905685,0.8968726133772791,7.703109457507115,-0.16190611476665456,-0.42555446555128873,-0.07768303910230041,0.8869358219659156
2,-3.750750019126551,6.109219736931443,16.4158300550712,-0.19893093782352997,-0.2911820508036765,-0.06203843127377437,0.9336973429926345
3,6.022523387081517,-0.4663620361518047,9.078700926398794,-0.17431803978762922,-0.5142071665204546,-0.10762655137506855,0.8328389618303852
4,3.6872425384991243,-1.9743154876045912,10.881588434732732,0.18581976907121228,-0.3966786203201184,0.08234233141248155,0.8951741875527945
5,6.88195463765364,0.5467681316704741,7.851158502987718,0.2651704838735552,-0.3902951481913142,0.11845801222409022,0.8736830152409407
6,6.88195463765364,0.5467681316704741,7.851158502987718,0.015389467349529036,0.4914776154552085,-0.008686670598763688,0.8707108932102943
7,2.741355610710596,0.6086387768089183,5.382710431610614,-0.00981357089374211,0.4993399485513937,0.005656385075593825,0.8663321042850032
8,1.734393330519119,0.997768670641352,5.069466834859248,0.09289049930785759,0.5985972518339693,-0.07015862866295383,0.7925468137966932
9,0.9143999850184309,1.437735480100396,4.624160587785748,0.1555894204074466,0.5220489712277223,-0.0975193543449626,0.8329146291340387
10,-0.49445625495108964,1.596154140816172,5.882982355569425,0.038457388203221976,-0.24442604149202704,0.009702146513889641,0.968856443383718
11,-3.750750019126551,6.109219736931443,16.4158300550712,-0.19893093782352997,-0.2911820508036765,-0.06203843127377437,0.9336973429926345
