keyframe,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
0,23.20122996509486,2.9620331416725656,12.03044590913655,0.051294167169933375,0.36264818019771217,-0.01999544815454364,0.9302985477075247
1,20.79474735329627,3.3085413339530034,8.475264653517614,0.04122401974777789,0.28922627050415756,-0.012468029256781286,0.9562914267588845
2,19.187920908631625,3.557491648456518,6.020817151208465,0.04034005539419244,0.2834954290312818,-0.01193697278520714,0.9580503798495611
3,16.805862106196386,4.006381919876927,2.1421867828057786,0.05803191994648935,0.2563263964538294,-0.015419043640149722,0.9647234463003073
4,16.034384285581528,4.194052878041096,0.7928902029263153,0.05803191994648935,0.2563263964538294,-0.015419043640149722,0.9647234463003073
5,15.40846385582783,4.34631530691142,-0.3018299206804056,0.05803191994648935,0.2563263964538294,-0.015419043640149722,0.9647234463003073
6,14.846513002641396,4.483016391817034,-1.2846687580438623,0.1632250924370266,0.7609157432447838,-0.2098374172506691,0.5918893977786145
7,13.922950258942723,5.134037616505923,-0.9558477780739308,0.1646675306808787,0.7993654425697466,-0.25348884179949216,0.5192715095668999
8,13.41007499221373,5.529859209002749,-0.7276713174052062,0.1646675306808787,0.7993654425697466,-0.25348884179949216,0.5192715095668999
9,13.089752628857115,6.095308363379365,-0.3769967517153457,0.15245345847528843,0.8454358048430982,-0.39294656262434924,0.32800799046659607
10,13.089752628857115,6.095308363379365,-0.3769967517153457,0.004422054179526836,0.9904801970862397,-0.03277857385395523,0.13362256438542808
11,12.580046363881541,6.097529027064892,1.3468958061479348,-0.008843999025552099,0.9862418148984412,0.0561960595234999,0.15521233559577685
12,12.580046363881541,6.097529027064892,1.3468958061479348,-0.1757038131712238,-0.5316955529391972,-0.11383751328185511,0.8206515884293264
13,15.146558070639456,4.797193269080457,0.17316973713305256,-0.18191279609739966,-0.5276038257630413,-0.1168298481431052,0.8215185477145889
