keyframe,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
0,22.440981190053233,9.466012931544265,9.104530088420844,-0.1570948937667306,0.41299686495398086,0.0725608540244515,0.8941418826751407
1,16.29148020336548,5.661647770528816,3.53750730622145,-0.19467671513007878,0.097610416286865,0.019473654627972087,0.9758042631562427
2,13.819240427121949,5.119441712806397,2.1240727516141806,-0.25874507379854716,-0.09092542100817932,-0.024472482957074826,0.9613452304855864
3,13.029548932254205,5.119441712806397,2.2949429911801187,-0.09848181420876737,0.07426480886968287,0.007370214670992839,0.9923365106501941
4,13.029548932254205,5.119441712806397,2.2949429911801187,0.00197144431523184,0.3209177649431632,-0.0006680058214031086,0.9471047752595376
5,12.394516021368986,5.078513465925462,1.2930412587591698,-0.09296451062703154,0.42341480087899536,0.04373171129000428,0.9000916862120908
6,12.71801756389787,5.078513465925462,0.6799268640746822,-0.08344313550752955,0.7320713020530777,0.09118435876137163,0.669921088311348
7,11.754390764445514,5.004824682716433,-0.36883939944404665,-0.00017116115160506102,-0.999378401550148,-0.03491093957509505,0.004899746617478141
8,10.796074585686425,5.004824682716433,-0.09247562120204386,-0.014250678278441637,-0.8943043051339156,-0.02855450912903035,0.4463198046199038
9,10.796074585686425,5.004824682716433,-0.09247562120204386,-0.04673653340823439,-0.7135876261530562,-0.04782358852018167,0.6973674072017415
10,12.834738686129203,4.655908252093689,-0.0202217479684714,-0.010362393090121668,-0.7192890059056464,-0.010731476615607517,0.6945507772671207
11,13.75823257582084,4.473180479700302,-0.4483246874872423,-0.15892411595634973,-0.2875419559054273,-0.048446835111990744,0.9432473976265218
12,14.213616749498645,3.9558852591306124,-1.4464497220794503,-0.23912438583627538,-0.23309953944999895,-0.0592516132756864,0.9407302371726185
13,13.793691860869272,4.475938966290269,-5.065899743383389,-0.004758367459095828,-0.9949992968099544,-0.08068999636449817,0.05867607496687012
14,12.823901172746366,5.928841727116654,-15.03554103085748,-0.003205709333569788,-0.9965059276073751,-0.06978791316984313,0.04577452180451515
15,12.823901172746366,5.928841727116654,-15.03554103085748,0.0019403131870507529,-0.9978944571536432,0.05402035101902418,0.03584256188602354
16,12.785257481824392,7.266975486952125,-2.5174882503431344,0.0013584162658697525,0.9983040108005878,-0.052040276909962616,0.026058900664512778
17,12.886191541124271,7.447390723222565,-1.5964034169904042,0.014318036941597518,-0.9854215705553848,0.10791968524593026,0.1307389140184252
18,13.144004717414319,7.61010668622131,-0.9268758623391304,-0.0014785151013346804,-0.9260750487332005,-0.0036288017248918038,0.37731902934378597
19,13.450109499789649,7.472560611878676,-0.6907789572107181,-0.036219696744756426,-0.8883146956012243,-0.07114426749933356,0.4522428864543977
20,13.816580948715313,7.26977325907534,-0.4105734237105505,-0.2447846296687858,-0.7346846958769772,-0.33509267202540777,0.5366859266618992
21,15.24182074294956,5.543843094234467,-0.01476612224404563,-0.2463697593692736,-0.7275276900871162,-0.32482273790462995,0.5518111912284592
22,16.008506341507214,4.625949361247896,0.319054562514249,-0.19994339987283888,-0.786641277691094,-0.3232777806415482,0.48652812212994245
23,22.440981190053233,9.466012931544265,9.104530088420844,-0.1570948937667306,0.41299686495398086,0.0725608540244515,0.8941418826751407
