keyframe,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
0,23.362293188260622,23.125473089886274,-17.9386687464646,-0.0774074646164668,0.9225226656986087,0.27320258119184027,0.26138164687693627
1,13.34627685440772,3.7812578024861385,0.828754061656483,-0.10983784940714077,0.8842469635492038,0.3706458643212377,0.26203930535931075
2,13.34627685440772,3.7812578024861385,0.828754061656483,0.04417337067745681,0.8945062552315832,-0.09072728659677826,0.43551788957670595
3,5.9754388358596096,4.376948483242376,3.3360180076695998,0.043803817547198656,0.8200046835795209,-0.06333270964924129,0.5671529884999514
4,-7.3972935034191725,6.436148610985581,8.144236663058326,0.04092419241580074,0.815230111289583,-0.05804560915435553,0.5747658509165174
5,-7.3972935034191725,6.436148610985581,8.144236663058326,-0.04794964598430454,-0.615045086996564,-0.03751401333362494,0.7861380738871344
6,-7.3972935034191725,6.436148610985581,8.144236663058326,0.07382902294385778,-0.6449017452067468,0.06280549234774511,0.7580939813317376
7,6.622226815102456,9.644860254512915,7.0732386365237705,0.09679209566694594,-0.7042147145321773,0.09786180915712259,0.6965170438411824
8,-3.1712527469010805,16.88639821284962,26.56157541292607,-0.2296223127840541,-0.1816158884991576,-0.04365955542678005,0.9551874715134718
9,23.362293188260622,23.125473089886274,-17.9386687464646,-0.0774074646164668,0.9225226656986087,0.27320258119184027,0.26138164687693627
